,Date,JNJ,MCD,KO,PFE,SBUX
0,2010-01-01,45.894259999999996,45.350845,18.183428,12.654274000000001,9.198994
1,2010-02-01,45.996483000000005,46.382374,17.670601,11.901525,9.671816999999999
2,2010-03-01,47.966923,48.879177,18.434809,11.740099,10.245961999999999
3,2010-04-01,47.304802,51.714325,18.210957999999998,11.445739999999999,10.967866
4,2010-05-01,42.890663,48.989056,17.512501,10.425756,10.975145
5,2010-06-01,43.846657,48.661915,17.076393,9.864614,10.301124
6,2010-07-01,43.126521999999994,51.513515000000005,19.096943,10.376524,10.534279
7,2010-08-01,42.332146,53.973553,19.363768,11.006031,9.741558
8,2010-09-01,46.433445,55.457005,20.278593,12.009961,10.887976
9,2010-10-01,47.767406,57.883368999999995,21.573271,12.184833,12.170671
10,2010-11-01,46.126202,58.277866,22.224129,11.401419,13.040007000000001
11,2010-12-01,46.749897,57.57885400000001,23.46088,12.374412,13.750060000000001
12,2011-01-01,45.1777,55.260982999999996,22.419279,12.87617,13.493289
13,2011-02-01,46.439995,56.768719,22.800968,13.597010000000001,14.113817000000001
14,2011-03-01,45.189682,57.542965,23.664198000000003,14.504114999999999,15.876129999999998
15,2011-04-01,50.124332,59.221851,24.415228,14.975442999999999,15.553879
16,2011-05-01,51.321743,61.664516000000006,24.179979,15.318229999999998,15.807387
17,2011-06-01,51.174507,64.24234799999999,24.353711999999998,14.853623,17.028074
18,2011-07-01,49.84359,65.888008,24.973291,13.880208999999999,17.286797
19,2011-08-01,50.620605,68.882195,25.869260999999998,13.685523000000002,16.652939
20,2011-09-01,49.433871999999994,67.361511,24.808048,12.890278,16.136566000000002
21,2011-10-01,49.977191999999995,71.219734,25.431683,14.042241,18.330521
22,2011-11-01,50.233318,73.2677,25.025942,14.632803,18.815176
23,2011-12-01,51.373203000000004,77.536049,26.427061,15.936276999999999,19.987852
24,2012-01-01,51.631725,76.546867,25.505503,15.759528,20.817601999999997
25,2012-02-01,50.981533,76.72461700000001,26.385517,15.560698,21.095633
26,2012-03-01,52.127303999999995,76.34520699999999,27.952932,16.853331,24.365682999999997
27,2012-04-01,51.447646999999996,75.839333,29.250719,17.039343,25.010899
28,2012-05-01,49.337582,69.527817,28.641329,16.272942999999998,23.929726000000002
29,2012-06-01,53.911522,69.436836,29.967421,17.283345999999998,23.316616
30,2012-07-01,55.236168000000006,70.087845,31.393559000000003,18.064857,19.800758
31,2012-08-01,53.807789,70.18980400000001,29.062346999999995,17.929592,21.694246
32,2012-09-01,55.488491,72.52873199999999,29.474194,18.845997,22.261460999999997
33,2012-10-01,57.026478000000004,68.61573800000001,29.087784000000003,18.861168,20.149893
34,2012-11-01,56.148754000000004,68.80545,29.666714000000002,18.974926,22.770692999999998
35,2012-12-01,56.945854000000004,70.356476,28.554783,19.19129,23.641289
36,2013-01-01,60.049053,76.00350999999999,29.334630999999998,20.874741,24.738932000000002
37,2013-02-01,61.828120999999996,76.490059,30.500444,21.12665,24.179094
38,2013-03-01,66.760826,80.154404,31.855321999999997,22.276775,25.199162
39,2013-04-01,69.790573,82.124298,33.585484,22.438864000000002,26.920406
40,2013-05-01,68.930763,77.645821,31.728886,21.018591,27.938107000000002
41,2013-06-01,70.834946,80.223259,31.824089,21.8009,29.084536
42,2013-07-01,77.137962,79.47776800000001,32.020092,22.750458,31.65069
43,2013-08-01,71.288689,76.463295,30.502163,22.135616,31.308825
44,2013-09-01,72.05854000000001,78.59227800000001,30.262487,22.543648,34.269729999999996
45,2013-10-01,76.979393,78.84552,31.842547999999997,24.081604000000002,36.086292
46,2013-11-01,78.68338,79.539856,32.34148,24.897665,36.268840999999995
47,2013-12-01,76.66301700000001,79.921341,33.475636,24.2206,35.01437
48,2014-01-01,74.051529,77.56562,30.647501000000002,24.038726999999998,31.767084000000004
49,2014-02-01,77.10664399999999,78.372833,30.955431,25.390905,31.69562
50,2014-03-01,82.812508,81.432899,31.328194,25.610605,32.900589000000004
51,2014-04-01,85.39224200000001,84.21572900000001,33.316134999999996,24.940838,31.663116
52,2014-05-01,85.53555300000001,84.25725600000001,33.414158,23.625221,32.837814
53,2014-06-01,88.814255,84.358604,34.59848,23.876028,34.821686
54,2014-07-01,84.96865799999999,79.18354000000001,32.332333,23.087666,34.956684
55,2014-08-01,88.058716,78.480148,34.33202,23.851323999999998,35.015190000000004
56,2014-09-01,91.098694,80.77317,35.105553,23.997401999999997,34.07193
57,2014-10-01,92.115746,79.853065,34.714764,24.305794,34.117081
58,2014-11-01,92.517426,82.47708100000001,37.160042,25.279648,36.668186
59,2014-12-01,89.954338,80.533211,35.238490999999996,25.498587,37.200497
60,2015-01-01,86.143509,79.450264,34.362114,25.580448,39.685055
61,2015-02-01,88.182259,85.002525,36.1399,28.093467999999998,42.387253
62,2015-03-01,87.144989,84.475479,33.844646000000004,28.729429,43.092564
63,2015-04-01,85.932236,83.703888,34.133891999999996,28.019238,45.12207
64,2015-05-01,86.74652900000001,83.166382,34.470515999999996,28.696385999999997,47.288055
65,2015-06-01,85.04061899999999,83.137062,33.014606,27.918026,48.954056
66,2015-07-01,87.440178,87.32584399999999,34.856716,30.024578,52.889010999999996
67,2015-08-01,82.00406600000001,85.113396,33.363338,27.693217999999998,51.081317999999996
68,2015-09-01,82.077461,86.921875,34.042152,26.357233,52.036949
69,2015-10-01,88.830063,99.02549,36.245644,28.379551,57.282753
70,2015-11-01,89.01469399999999,100.710472,36.476734,27.498455,56.202456999999995
71,2015-12-01,90.981773,105.03871200000002,37.049694,27.305914,55.135326
