Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,61.110001,63.310001,59.009998,61.549999,44.368778,254369600
2010-02-01,61.849998,63.959999,60.430000,63.279999,45.943375,241531900
2010-03-01,63.459999,64.580002,62.509998,63.270000,45.936111,216997300
2010-04-01,63.470001,64.000000,60.830002,62.160000,45.130230,239535800
2010-05-01,62.419998,63.950001,39.369999,61.090000,44.694584,320836100
2010-06-01,60.889999,62.599998,59.570000,59.980000,43.882492,344033000
2010-07-01,59.840000,63.360001,58.919998,61.160000,44.745789,255144100
2010-08-01,61.950001,62.090000,59.169998,59.669998,43.997192,268340400
2010-09-01,59.900002,62.000000,59.529999,59.970001,44.218407,215064600
2010-10-01,60.090000,63.980000,59.680000,63.570000,46.872837,260747300
2010-11-01,63.880001,65.000000,61.020000,61.070000,45.375515,202727700
2010-12-01,61.570000,65.379997,61.500000,64.330002,47.797710,196591300
2011-01-01,64.389999,66.949997,63.009998,63.130001,46.906113,233997500
2011-02-01,63.430000,64.970001,62.299999,63.049999,47.193806,201096800
2011-03-01,63.430000,63.650002,59.700001,61.599998,46.108456,243731400
2011-04-01,61.880001,65.099998,61.470001,64.900002,48.578564,192430200
2011-05-01,65.239998,67.720001,64.860001,67.000000,50.566345,208058900
2011-06-01,66.959999,66.989998,62.360001,63.570000,47.977650,213601700
2011-07-01,63.470001,65.139999,61.490002,61.490002,46.407833,206299700
2011-08-01,62.160000,63.950001,57.560001,63.680000,48.454384,345536600
2011-09-01,63.619999,64.699997,60.299999,63.180000,48.073929,234702600
2011-10-01,63.689999,66.300003,61.779999,63.990002,48.690277,205920800
2011-11-01,63.369999,64.589996,61.000000,64.570000,49.532154,176927600
2011-12-01,64.580002,66.980003,63.869999,66.709999,51.173775,181383300
2012-01-01,66.300003,67.000000,62.700001,63.040001,48.358490,286695300
2012-02-01,63.419998,67.769997,62.560001,67.620003,52.286102,235104300
2012-03-01,67.440002,67.949997,66.199997,67.209999,51.969078,176509200
2012-04-01,67.430000,67.919998,63.290001,63.639999,49.208645,260484800
2012-05-01,63.340000,64.809998,61.980000,62.290001,48.572205,230071300
2012-06-01,61.759998,63.669998,59.070000,61.250000,47.761223,253133100
2012-07-01,61.040001,65.750000,60.779999,64.540001,50.326694,326914900
2012-08-01,64.870003,67.449997,63.240002,67.190002,52.847576,205192800
2012-09-01,67.220001,69.970001,67.010002,69.360001,54.554367,192197500
2012-10-01,69.330002,70.830002,67.260002,69.239998,54.459988,196136900
2012-11-01,69.160004,69.889999,65.830002,69.830002,55.375057,165939000
2012-12-01,69.839996,70.989998,66.830002,67.889999,53.836651,181564600
2013-01-01,68.650002,75.480003,68.349998,75.160004,59.601742,222560700
2013-02-01,75.300003,77.769997,74.949997,76.180000,60.900383,191904000
2013-03-01,75.699997,77.820000,75.559998,77.059998,61.603874,154532700
2013-04-01,76.849998,82.540001,76.349998,76.769997,61.372047,227545000
2013-05-01,76.830002,82.349998,76.720001,76.760002,61.814522,217685100
2013-06-01,76.870003,79.470001,75.099998,76.989998,61.999725,197044800
2013-07-01,77.019997,81.639999,77.000000,80.300003,64.665283,173226400
2013-08-01,81.620003,82.400002,73.610001,77.889999,63.193954,145746000
