Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,15.480000,16.280001,11.040000,11.260000,9.155951,90731000
2010-02-01,11.320000,13.520000,11.240000,12.340000,10.034142,63899000
2010-03-01,12.480000,14.500000,11.980000,14.160000,11.514055,53912000
2010-04-01,14.200000,15.980000,14.120000,15.260000,12.408509,56518000
2010-05-01,15.460000,18.540001,14.240000,17.980000,14.620247,128512900
2010-06-01,17.799999,18.540001,16.240000,16.379999,13.319224,84575100
2010-07-01,16.540001,19.200001,16.320000,17.900000,14.555196,61973800
2010-08-01,18.280001,19.180000,16.500000,17.879999,14.538933,90374000
2010-09-01,18.000000,21.320000,17.959999,20.920000,17.010878,50292600
2010-10-01,21.200001,22.480000,20.520000,20.799999,16.913300,50986500
2010-11-01,20.959999,24.719999,20.719999,24.299999,19.759289,57056000
2010-12-01,24.740000,25.860001,23.940001,25.260000,20.539904,38689800
2011-01-01,25.520000,28.799999,24.840000,25.860001,21.027786,65274900
2011-02-01,26.160000,28.799999,25.299999,28.799999,23.418417,51606300
2011-03-01,28.840000,32.820000,27.940001,32.480000,26.410770,64819300
2011-04-01,32.560001,34.439999,31.760000,33.660000,27.370275,48082300
2011-05-01,33.919998,37.580002,32.799999,35.799999,29.110392,82880900
2011-06-01,35.580002,37.040001,31.459999,34.419998,27.988260,53751500
2011-07-01,34.320000,35.680000,31.959999,32.560001,26.475822,36080500
2011-08-01,32.060001,32.520000,17.379999,22.320000,18.149273,149052100
2011-09-01,22.299999,22.780001,17.180000,17.420000,14.164889,67929000
2011-10-01,17.299999,20.059999,15.500000,17.000000,13.823371,60313900
2011-11-01,15.760000,18.100000,15.020000,16.760000,13.628218,48945600
2011-12-01,16.660000,18.080000,15.800000,17.360001,14.116101,38072500
2012-01-01,17.820000,19.020000,15.720000,17.680000,14.376306,51538800
2012-02-01,17.820000,24.340000,17.680000,20.600000,16.750673,70511500
2012-03-01,20.600000,21.820000,17.879999,18.040001,14.669038,53249900
2012-04-01,18.020000,18.620001,13.580000,14.600000,11.871837,59340500
2012-05-01,14.520000,16.900000,12.320000,12.800000,10.408185,78424100
2012-06-01,12.280000,12.980000,11.060000,12.100000,9.838988,65008400
2012-07-01,12.140000,18.320000,12.140000,17.520000,14.246203,78767600
2012-08-01,17.660000,20.360001,17.040001,19.459999,15.823694,71530600
2012-09-01,19.400000,24.959999,19.280001,23.420000,19.043728,74333700
2012-10-01,23.500000,29.020000,20.100000,20.420000,16.604309,252989600
2012-11-01,20.400000,22.799999,19.600000,21.299999,17.319870,77038200
2012-12-01,21.360001,21.799999,19.260000,19.879999,16.165213,70160100
2013-01-01,20.000000,20.200001,18.280001,20.059999,16.311577,79411800
2013-02-01,20.200001,20.920000,19.200001,19.600000,15.937534,49541000
2013-03-01,19.639999,22.080000,19.400000,21.799999,17.726440,71431500
2013-04-01,21.860001,24.120001,21.660000,23.680000,19.255144,198616300
2013-05-01,16.250000,21.870001,16.010000,21.430000,17.425579,133782800
2013-06-01,21.760000,25.020000,20.299999,24.809999,24.348629,101997400
2013-07-01,24.750000,25.719999,22.740000,24.110001,23.661648,71252600
2013-08-01,24.299999,25.900000,22.950001,23.350000,22.915779,62825700
2013-09-01,23.540001,26.660000,23.520000,25.969999,25.487057,63065400
2013-10-01,26.350000,28.129999,25.129999,27.730000,27.214327,47338900
2013-11-01,27.830000,29.500000,24.900000,26.010000,25.526314,189281900
2013-12-01,26.030001,34.099998,25.209999,33.639999,33.014423,165694400
2014-01-01,33.029999,33.919998,29.900000,30.570000,30.001514,127383600
2014-02-01,30.450001,32.700001,29.059999,30.500000,29.932817,122997800
2014-03-01,30.260000,33.230000,30.010000,33.029999,32.415768,95106200
2014-04-01,33.119999,33.689999,27.620001,29.290001,28.745319,89076300
2014-05-01,31.770000,35.500000,31.040001,34.330002,33.691597,97788800
2014-06-01,34.160000,34.950001,32.340000,33.619999,32.994797,75241600
2014-07-01,33.570000,33.880001,30.730000,32.939999,32.327442,91845700
2014-08-01,33.000000,34.549999,28.440001,30.080000,29.520628,124560900
2014-09-01,30.610001,32.029999,28.250000,28.870001,28.333130,91093500
2014-10-01,28.760000,29.600000,24.500000,29.190001,28.647179,120407100
2014-11-01,29.059999,29.549999,27.010000,29.190001,28.647179,63332900
2014-12-01,28.990000,29.010000,24.260000,26.940001,26.439020,126225400
2015-01-01,27.100000,31.139999,26.459999,30.180000,29.618769,112342600
2015-02-01,30.549999,33.220001,30.190001,33.029999,32.415768,82084000
2015-03-01,32.820000,33.480000,31.570000,31.690001,31.100687,69652200
2015-04-01,31.760000,35.279999,31.190001,34.040001,33.406986,79247700
2015-05-01,34.119999,39.070000,32.900002,38.880001,38.156982,108353900
2015-06-01,39.040001,40.770000,37.580002,38.770000,38.049026,110467700
2015-07-01,38.950001,41.209999,36.330002,40.660000,39.903881,81101300
2015-08-01,40.689999,42.560001,36.430000,39.610001,38.873405,73914200
2015-09-01,38.820000,43.430000,38.650002,39.810001,39.069687,69273500
2015-10-01,39.950001,42.060001,36.540001,37.889999,37.185390,87606300
2015-11-01,37.660000,41.189999,35.480000,35.500000,34.839836,102445600
2015-12-01,35.860001,40.349998,34.240002,39.119999,39.119999,109163700
2016-01-01,38.860001,41.230000,35.490002,40.150002,40.150002,77654700
2016-02-01,40.040001,40.650002,33.230000,37.099998,37.099998,101534100
2016-03-01,37.029999,39.790001,36.259998,38.299999,38.299999,97194400
2016-04-01,38.060001,42.200001,37.930000,39.279999,39.279999,109350600
2016-05-01,39.360001,42.970001,38.669998,42.759998,42.759998,83809300
2016-06-01,42.500000,44.130001,40.500000,43.270000,43.270000,82362200
2016-07-01,43.160000,46.959999,42.709999,46.340000,46.340000,56947400
2016-08-01,46.540001,48.110001,45.450001,46.340000,46.340000,51493900
2016-09-01,46.410000,47.669998,44.349998,46.720001,46.720001,67029300
2016-10-01,46.540001,51.650002,44.910000,49.730000,49.730000,95738600
2016-11-01,49.680000,56.090000,48.759998,54.209999,54.209999,86855100
2016-12-01,54.110001,59.189999,53.779999,57.509998,57.509998,63753900
2017-01-01,58.099998,63.680000,55.299999,62.270000,62.270000,95956900
2017-02-01,62.259998,65.410004,59.509998,62.529999,62.529999,124687100
2017-03-01,62.660000,65.349998,60.830002,64.589996,64.589996,86049400
2017-04-01,64.199997,68.190002,62.220001,67.269997,67.269997,66038800
2017-05-01,67.830002,68.879997,63.630001,67.419998,67.419998,85003700
2017-06-01,67.419998,68.500000,59.590000,60.619999,60.619999,94471400
2017-07-01,60.740002,64.029999,59.130001,61.660000,61.660000,90450900
2017-08-01,62.099998,65.000000,61.610001,64.709999,64.709999,57934000
2017-09-01,64.779999,65.470001,60.730000,61.660000,61.660000,78837700
2017-10-01,61.340000,63.080002,59.209999,59.770000,59.770000,93145900
2017-11-01,60.139999,62.930000,54.599998,61.070000,61.070000,127005000
2017-12-01,60.349998,64.639999,59.959999,63.509998,63.509998,80234600
2018-01-01,63.900002,66.519997,62.439999,65.099998,65.099998,65504500
