Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,41.244999,41.875000,39.130001,40.014999,28.585510,125015400
2010-02-01,40.209999,41.695000,39.035000,41.470001,29.957729,89673400
2010-03-01,41.610001,42.814999,41.389999,42.630001,30.795710,100320200
2010-04-01,42.674999,43.075001,41.290001,42.049999,30.376711,95193800
2010-05-01,42.150002,42.230000,38.270000,39.044998,28.563391,122633800
2010-06-01,38.884998,40.974998,38.320000,39.380001,28.808456,114975200
2010-07-01,39.310001,42.355000,38.330002,39.490002,28.888926,136625000
2010-08-01,39.785000,39.785000,36.560001,36.919998,27.358110,133424000
2010-09-01,37.369999,39.595001,37.060001,38.430000,28.477034,131453000
2010-10-01,38.555000,38.775002,36.810001,38.560001,28.573364,146941200
2010-11-01,38.465000,39.555000,38.130001,38.275002,28.757133,108222200
2010-12-01,38.540001,40.660000,38.459999,40.185001,30.192173,97142600
2011-01-01,40.169998,40.310001,38.200001,38.384998,28.839764,125940000
2011-02-01,38.505001,39.840000,37.430000,39.259998,29.898405,137726200
2011-03-01,39.150002,40.680000,38.195000,40.380001,30.751337,130333600
2011-04-01,40.500000,42.500000,39.900002,42.174999,32.118320,111984200
2011-05-01,42.205002,43.790001,42.000000,43.764999,33.811802,98483400
2011-06-01,43.525002,44.680000,41.805000,43.705002,33.765446,122978000
2011-07-01,43.660000,44.715000,42.169998,42.189999,32.594986,83664800
2011-08-01,42.485001,45.494999,39.310001,44.985001,35.213295,161796400
2011-09-01,45.000000,47.445000,42.865002,44.340000,34.708412,135936600
2011-10-01,44.180000,46.959999,43.195000,45.185001,35.369854,107061600
2011-11-01,44.465000,45.820000,43.095001,45.750000,36.271362,95131600
2011-12-01,45.605000,46.924999,44.564999,46.195000,36.624157,78398000
2012-01-01,45.695000,46.070000,43.610001,45.360001,35.962151,136240800
2012-02-01,45.544998,46.950001,45.384998,46.590000,37.419785,72865000
2012-03-01,46.500000,48.965000,46.250000,48.889999,39.267075,82122200
2012-04-01,48.840000,49.919998,47.935001,49.470001,39.732925,112798600
2012-05-01,49.485001,50.970001,48.855000,49.150002,39.980862,99108600
2012-06-01,48.855000,52.165001,48.105000,52.049999,42.339851,78887400
2012-07-01,51.705002,54.250000,50.759998,53.680000,43.665764,71470400
2012-08-01,53.904999,54.919998,52.250000,53.154999,43.752369,64602600
2012-09-01,53.080002,54.000000,51.250000,53.610001,44.126881,90476400
2012-10-01,53.419998,55.485001,51.525002,52.480000,43.196762,68836000
2012-11-01,52.340000,54.375000,51.580002,54.250000,45.159889,55695400
2012-12-01,54.314999,54.500000,51.410000,52.270000,43.511673,59462800
2013-01-01,52.805000,55.685001,52.615002,53.685001,44.689564,60128800
2013-02-01,54.419998,57.855000,53.685001,57.215000,48.176094,82093000
2013-03-01,57.044998,59.224998,55.660000,59.014999,49.691723,68450400
2013-04-01,58.935001,61.200001,58.009998,59.705002,50.272701,65934400
2013-05-01,59.720001,62.700001,57.830002,57.840000,49.267448,66651700
2013-06-01,57.910000,59.919998,55.470001,57.290001,48.798965,75494900
2013-07-01,57.599998,60.680000,57.110001,59.869999,50.996578,70012200
2013-08-01,60.270000,61.500000,56.939999,57.770000,49.494007,57447000
2013-09-01,58.349998,61.279999,57.259998,59.299999,50.804829,56226400
2013-10-01,59.230000,66.040001,58.720001,64.730003,55.456947,80995700
2013-11-01,64.820000,66.489998,64.000000,65.809998,56.686165,53964600
2013-12-01,65.639999,65.989998,62.799999,65.209999,56.169350,53782000
2014-01-01,64.889999,65.459999,60.000000,61.230000,52.741135,75954700
2014-02-01,61.220001,63.150002,59.750000,62.830002,54.405041,72438400
2014-03-01,62.230000,65.919998,62.000000,64.870003,56.171497,64729700
2014-04-01,64.870003,67.949997,63.869999,67.300003,58.275650,78204100
2014-05-01,67.180000,68.470001,66.099998,68.400002,59.547245,58331300
2014-06-01,68.129997,69.470001,66.980003,68.180000,59.355717,54575600
2014-07-01,68.500000,70.110001,63.400002,63.400002,55.194378,55878500
2014-08-01,63.060001,65.699997,62.889999,64.730003,56.644978,69051100
2014-09-01,64.440002,66.360001,63.360001,65.220001,57.073776,72310400
2014-10-01,65.220001,67.120003,62.529999,66.879997,58.526440,86218600
2014-11-01,66.800003,69.900002,66.709999,69.589996,61.240223,44724700
2014-12-01,68.669998,71.309998,67.250000,69.190002,60.888226,62216800
2015-01-01,69.169998,69.459999,64.870003,67.519997,59.418594,77671100
2015-02-01,67.360001,71.290001,66.980003,70.820000,62.649700,51754600
2015-03-01,70.820000,71.559998,66.879997,69.339996,61.340435,66453100
2015-04-01,69.339996,70.440002,66.779999,67.279999,59.518097,54188000
2015-05-01,67.279999,69.279999,66.739998,66.790001,59.414425,54645000
2015-06-01,66.709999,67.570000,64.830002,65.410004,58.186813,71702200
2015-07-01,65.589996,69.230003,65.550003,68.019997,60.508595,64249000
2015-08-01,67.660004,69.300003,50.840000,62.810001,56.188858,76452400
2015-09-01,61.619999,64.129997,60.910000,63.459999,56.770340,96105300
2015-10-01,63.580002,69.440002,63.060001,66.349998,59.355675,72118800
2015-11-01,66.769997,68.110001,64.510002,65.680000,59.091156,63486700
2015-12-01,65.769997,68.489998,64.989998,66.620003,59.936863,68985500
2016-01-01,65.400002,67.650002,61.400002,67.529999,60.755581,91296100
2016-02-01,66.930000,68.389999,64.000000,65.639999,59.416721,71113700
2016-03-01,66.059998,71.250000,65.930000,70.650002,63.951717,70433200
2016-04-01,70.209999,71.790001,68.239998,70.919998,64.196121,70905000
2016-05-01,71.470001,72.720001,69.529999,70.410004,64.083237,64598400
2016-06-01,70.410004,73.199997,69.709999,73.199997,66.622551,66417000
2016-07-01,73.199997,75.330002,72.629997,74.430000,67.742020,64386900
2016-08-01,74.440002,75.379997,73.889999,74.339996,68.015877,50128700
2016-09-01,74.379997,75.349998,70.860001,74.139999,67.832878,70865300
2016-10-01,73.930000,74.070000,70.250000,71.360001,65.289383,61456700
2016-11-01,71.459999,71.730003,65.230003,65.230003,60.007263,81730200
2016-12-01,65.230003,67.300003,64.459999,65.440002,60.200451,68323800
2017-01-01,65.559998,68.500000,63.430000,64.580002,59.409313,88478100
2017-02-01,64.500000,75.089996,64.430000,72.980003,67.524826,109429700
2017-03-01,73.050003,74.440002,72.580002,73.190002,67.719139,79175600
2017-04-01,73.099998,74.879997,70.169998,72.040001,66.655090,65033600
2017-05-01,72.290001,76.860001,70.660004,76.360001,71.034218,95453800
2017-06-01,76.500000,77.269997,74.040001,74.129997,68.959755,59073800
2017-07-01,74.339996,74.589996,69.779999,72.199997,67.164368,68845300
2017-08-01,72.110001,72.349998,70.660004,71.639999,67.014549,59899700
2017-09-01,71.660004,73.910004,70.769997,72.849998,68.146408,57647100
2017-10-01,73.019997,76.099998,69.050003,70.449997,65.901382,80008000
2017-11-01,70.720001,73.830002,69.750000,72.449997,68.144936,70112200
2017-12-01,72.510002,75.720001,71.930000,75.449997,70.966660,60195000
2018-01-01,75.430000,77.910004,72.449997,74.239998,69.828568,88767800
2018-02-01,74.330002,74.629997,68.190002,68.970001,65.208275,77241000
2018-03-01,68.870003,72.290001,67.860001,71.680000,67.770462,80751400
2018-04-01,71.320000,72.610001,64.839996,65.230003,61.672256,94826200
2018-05-01,64.779999,65.389999,61.279999,63.090000,59.998577,105865700
2018-06-01,63.250000,65.669998,61.970001,64.809998,61.634296,94871300
2018-07-01,64.599998,67.919998,64.029999,67.010002,63.726498,78389000
2018-08-01,66.830002,68.430000,65.010002,66.410004,63.562733,64552600
2018-09-01,65.739998,69.290001,64.949997,66.949997,64.079582,57660400
2018-10-01,66.959999,67.800003,57.410000,59.549999,56.996845,118852700
2018-11-01,59.630001,63.990002,59.320000,63.520000,61.201111,109577700
2018-12-01,63.459999,65.879997,57.509998,59.520000,57.347137,100054300
2019-01-01,59.240002,64.849998,58.619999,64.680000,62.318764,104403100
2019-02-01,64.900002,67.470001,64.199997,65.870003,63.893799,72085600
2019-03-01,65.919998,68.610001,64.779999,68.540001,66.483688,71090200
2019-04-01,68.379997,72.849998,67.250000,72.790001,70.606186,67310600
2019-05-01,72.080002,73.099998,69.440002,69.620003,67.954529,65808500
2019-06-01,69.699997,74.250000,69.589996,71.669998,69.955482,67419100
2019-07-01,71.959999,76.410004,71.129997,71.739998,70.023811,73626700
2019-08-01,71.629997,74.550003,68.410004,74.150002,72.796333,67135800
2019-09-01,73.669998,75.000000,68.970001,73.510002,72.168015,69830600
2019-10-01,72.779999,73.209999,66.800003,68.599998,67.347649,76006700
2019-11-01,67.440002,67.980003,64.750000,67.820000,67.003723,75572100
2019-12-01,68.000000,69.339996,66.800003,68.839996,68.011444,74443300
