,SP500,AAL,BAC,COST,CVX,CL,DAL,DIS,JNJ,KO,MCD,PEP,PFE,PG,SBUX,T,TMUS,WFC,WMT,XOM
count,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0
mean,1.8310476513693859,5.533727553993238,1.2652647647817257,2.848326407874303,1.801569835159886,1.950915720503408,2.862474704109031,3.0553771757416395,1.9029156236645475,1.9740045152359444,2.341009797255703,1.894882739832657,1.980169847292049,1.5353345917809011,4.588450467111863,1.8584930955148125,4.314349745912395,1.7424964215537535,1.6295920147285965,1.5365646271129965
std,0.5304746217616999,3.0053193171901857,0.5762066582330596,1.4133753692572915,0.37542311504354875,0.5163095360707293,1.5809339032444598,1.2777450601908504,0.672048895307429,0.5250361664247658,1.0225790895452762,0.603469296729579,0.6619694996780462,0.41835587431261323,2.3801810386833866,0.423829782865325,2.3574981362978464,0.5084630106249142,0.4879823614536446,0.21729115656060863
min,0.9637755320000001,0.8859517404949941,0.3615682708672539,0.9570402071999997,0.9598734600000002,0.96568292205,0.6088384170744273,1.06,0.9178300010880001,0.9395882495999999,1.02,1.0260613440000002,0.7803685890000001,0.9884323088640002,1.05,0.9879012000000001,1.1,0.8245820756736002,0.9106037183999999,0.896994332
25%,1.3171259143859873,2.2287265848574074,0.8763331322085465,1.7034874262795716,1.5406024214339595,1.5590073657835086,1.0426932148691006,1.7714136854196423,1.2029390943436398,1.6653087270175373,1.6706022623582557,1.321121635435322,1.4314184450506295,1.1703261235602076,2.5325660505293075,1.629535381441231,2.164667099096989,1.2204482902704228,1.305377682894282,1.4558515285843208
50%,1.850130847761497,6.312118264324592,1.1,2.705349472859604,1.809027498598725,2.139097319560672,3.249244672115019,3.435909735848415,1.8746395829790004,1.9525596390137123,1.8623640169008124,1.9098996802939088,2.022618874873803,1.4885220722743027,4.412542518012753,1.8875240160807845,3.7203294974880228,1.920324781886114,1.557387931113795,1.5737210714483645
75%,2.270514676317961,7.871105714081049,1.7522711518191156,3.4401474989336656,2.0593881490695534,2.3605534415365077,4.1516976386982964,4.067513441717054,2.5377597909121765,2.321056601827402,3.200592826463166,2.392932217433578,2.369899893620851,1.7465994437130212,6.139397868702494,2.1990624089498443,6.67724071020371,2.1537867047974117,1.8203362310228886,1.6940207368733409
max,2.938205307059469,10.462342583118632,2.629974904733856,6.509028560398667,2.4454317496249742,2.665875858908375,5.418509506532214,5.7558350799291285,3.148425134270771,3.209368110433621,4.8195499979550664,3.159837859017258,3.333790296297171,2.7678256467177254,10.746593389229515,2.662517795446863,9.225601324077028,2.7276351813935182,2.900687712302285,1.8365102705865468
