Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,15.240000,17.190001,14.680000,15.180000,13.460909,4592014200
2010-02-01,15.260000,16.840000,14.250000,16.660000,14.773309,4083459900
2010-03-01,16.740000,18.350000,16.030001,17.850000,15.828542,3801296800
2010-04-01,18.020000,19.860001,17.410000,17.830000,15.820416,4365611500
2010-05-01,17.879999,18.150000,14.800000,15.740000,13.965980,4577665100
2010-06-01,15.580000,16.100000,14.300000,14.370000,12.750386,2981601400
2010-07-01,14.320000,15.720000,13.300000,14.040000,12.465654,3560000600
2010-08-01,14.380000,14.470000,12.180000,12.460000,11.062824,3010148900
2010-09-01,12.640000,14.060000,12.600000,13.100000,11.631063,2967673000
2010-10-01,13.220000,13.660000,11.030000,11.450000,10.174247,5735593000
2010-11-01,11.500000,12.740000,10.910000,10.950000,9.729954,3930562800
2010-12-01,11.170000,13.490000,10.970000,13.340000,11.853663,4011807900
2011-01-01,13.850000,15.310000,13.400000,13.730000,12.211358,4651422300
2011-02-01,13.900000,14.950000,13.790000,14.290000,12.709420,2791930400
2011-03-01,14.320000,14.700000,13.160000,13.330000,11.855601,3277514600
2011-04-01,13.450000,13.880000,12.150000,12.280000,10.929589,2527300900
2011-05-01,12.360000,12.710000,11.290000,11.750000,10.457871,2552522700
2011-06-01,11.710000,11.740000,10.400000,10.960000,9.754747,3728992400
2011-07-01,10.980000,11.140000,9.400000,9.710000,8.649567,3304704200
2011-08-01,10.040000,10.050000,6.010000,8.170000,7.277751,8796781400
2011-09-01,8.180000,8.180000,6.000000,6.120000,5.458354,5435305600
2011-10-01,6.080000,7.430000,5.130000,6.830000,6.091597,5937891600
2011-11-01,6.380000,6.980000,5.030000,5.440000,4.851870,5670137400
2011-12-01,5.370000,5.950000,4.920000,5.560000,4.968678,4971016200
2012-01-01,5.750000,7.500000,5.620000,7.130000,6.371705,6068763900
2012-02-01,7.250000,8.350000,7.210000,7.970000,7.122367,5963971300
2012-03-01,8.090000,10.100000,7.660000,9.570000,8.562746,6820535600
2012-04-01,9.540000,9.780000,7.950000,8.110000,7.256415,4327576600
2012-05-01,8.110000,8.400000,6.720000,7.350000,6.576405,4223024800
2012-06-01,7.120000,8.220000,6.850000,8.180000,7.328897,4061071900
2012-07-01,8.200000,8.210000,6.900000,7.340000,6.576296,2814377800
2012-08-01,7.350000,8.400000,7.100000,7.990000,7.158666,2311106700
2012-09-01,8.000000,9.790000,7.930000,8.830000,7.911266,3169072100
2012-10-01,8.870000,9.650000,8.850000,9.320000,8.360735,2981868800
2012-11-01,9.340000,9.970000,8.920000,9.860000,8.845159,3166055300
2012-12-01,9.930000,11.690000,9.770000,11.610000,10.415036,3505653600
2013-01-01,12.050000,12.200000,11.020000,11.320000,10.165143,3342902200
2013-02-01,11.410000,12.420000,10.980000,11.230000,10.084324,3261268700
2013-03-01,11.130000,12.940000,11.020000,12.180000,10.947242,3198847600
2013-04-01,12.150000,12.540000,11.230000,12.310000,11.064084,2917832000
2013-05-01,12.200000,13.990000,12.050000,13.660000,12.277450,2929147100
2013-06-01,13.690000,13.730000,12.130000,12.860000,11.558420,2590843100
2013-07-01,12.950000,15.030000,12.730000,14.600000,13.132139,2461055900
2013-08-01,14.850000,14.970000,13.980000,14.120000,12.700397,1933732700
2013-09-01,14.300000,14.830000,13.600000,13.800000,12.412571,1715010800
2013-10-01,13.850000,14.720000,13.680000,13.970000,12.574306,2047949700
2013-11-01,14.000000,15.980000,13.800000,15.820000,14.239474,2059558200
2013-12-01,15.840000,15.970000,15.060000,15.570000,14.014454,1661429900
2014-01-01,15.690000,17.420000,15.680000,16.750000,15.086271,2581396100
2014-02-01,16.770000,16.920000,16.129999,16.530001,14.888124,2055235400
2014-03-01,16.299999,18.030001,16.190001,17.200001,15.491574,2337288800
2014-04-01,17.280001,17.400000,14.860000,15.140000,13.644342,2245029800
2014-05-01,15.140000,15.310000,14.370000,15.140000,13.644342,1462446400
2014-06-01,15.160000,15.940000,15.050000,15.370000,13.851619,1256220000
2014-07-01,15.380000,16.230000,15.130000,15.250000,13.752318,1499782500
2014-08-01,15.180000,16.459999,14.840000,16.090000,14.509823,1445234500
2014-09-01,16.139999,17.200001,15.900000,17.049999,15.375543,1789337700
2014-10-01,17.070000,17.410000,15.430000,17.160000,15.522446,2208123000
2014-11-01,17.180000,17.459999,16.830000,17.040001,15.413895,942013300
2014-12-01,16.920000,18.209999,16.590000,17.889999,16.182779,1712060700
2015-01-01,17.990000,18.030001,14.970000,15.150000,13.744326,2211366600
2015-02-01,15.270000,16.790001,15.120000,15.810000,14.343090,1910757200
2015-03-01,15.790000,16.620001,15.260000,15.390000,13.962057,1855236900
2015-04-01,15.420000,16.049999,15.250000,15.930000,14.497146,1464221900
2015-05-01,16.000000,16.850000,15.920000,16.500000,15.015875,1403264600
2015-06-01,16.580000,17.719999,16.469999,17.020000,15.489102,1659993000
2015-07-01,17.250000,18.480000,16.219999,17.879999,16.320553,1904433600
2015-08-01,17.910000,18.070000,14.600000,16.440001,15.006145,2325559300
2015-09-01,15.950000,16.480000,15.250000,15.580000,14.221155,1777912500
2015-10-01,15.520000,17.440001,14.630000,16.780001,15.365807,1848594500
2015-11-01,16.900000,18.090000,16.870001,17.430000,15.961024,1439390500
2015-12-01,17.520000,17.889999,16.500000,16.830000,15.411591,1771496200
2016-01-01,16.450001,16.590000,12.940000,14.140000,12.984756,2648604300
2016-02-01,14.050000,14.090000,10.990000,12.520000,11.497110,3571160300
2016-03-01,12.640000,14.030000,12.620000,13.520000,12.415409,2415683100
2016-04-01,13.470000,15.300000,12.750000,14.560000,13.421319,2023974200
2016-05-01,14.580000,15.150000,13.800000,14.790000,13.633330,1742193700
2016-06-01,14.600000,14.980000,12.050000,13.270000,12.232204,2285807400
2016-07-01,13.190000,14.700000,12.450000,14.490000,13.402100,1701679800
2016-08-01,14.520000,16.240000,14.090000,16.139999,14.928220,1813474400
2016-09-01,16.150000,16.150000,14.810000,15.650000,14.542376,1825500700
2016-10-01,15.590000,17.100000,15.500000,16.500000,15.332217,1723132300
2016-11-01,16.559999,21.190001,16.280001,21.120001,19.625240,3121614500
2016-12-01,21.420000,23.389999,21.020000,23.090000,21.535412,2754257500
2017-01-01,22.600000,23.549999,22.010000,22.639999,21.115707,1917358300
2017-02-01,22.969999,24.950001,22.450001,24.680000,23.018364,1866619200
2017-03-01,25.370001,25.799999,22.160000,23.590000,22.001751,2336311300
2017-04-01,23.650000,24.350000,22.260000,23.340000,21.834934,1824451100
2017-05-01,23.520000,24.309999,22.090000,22.410000,20.964905,1637101600
2017-06-01,22.480000,24.670000,22.070000,24.260000,22.770153,1768824400
2017-07-01,24.459999,25.110001,23.610001,24.120001,22.638756,1385076400
2017-08-01,24.290001,25.350000,23.120001,23.889999,22.422873,1354317600
2017-09-01,23.900000,25.639999,22.750000,25.340000,23.905485,1481992500
2017-10-01,25.459999,27.980000,25.120001,27.389999,25.839432,1380163100
2017-11-01,27.639999,28.719999,25.809999,28.170000,26.575275,1350989400
2017-12-01,28.250000,30.030001,27.500000,29.520000,27.967525,1494582400
2018-01-01,29.750000,32.450001,29.610001,32.000000,30.317099,1413714500
2018-02-01,32.000000,32.849998,29.129999,32.099998,30.411840,1705884000
2018-03-01,32.070000,33.049999,29.010000,29.990000,28.412806,1488464200
2018-04-01,29.799999,31.170000,28.750000,29.920000,28.452854,1471183500
2018-05-01,29.920000,31.360001,28.430000,29.040001,27.616007,1414580700
2018-06-01,29.490000,30.410000,28.010000,28.190001,26.917217,1377574500
2018-07-01,28.080000,31.450001,27.629999,30.879999,29.485762,1313220000
2018-08-01,31.219999,31.910000,30.160000,30.930000,29.533506,1076260100
2018-09-01,30.910000,31.370001,29.420000,29.459999,28.129875,1036676400
2018-10-01,29.680000,30.790001,25.879999,27.500000,26.385303,1818210500
2018-11-01,27.770000,29.120001,26.780001,28.400000,27.248823,1119395300
2018-12-01,28.990000,29.040001,22.660000,24.639999,23.641232,1812967100
2019-01-01,24.080000,29.719999,24.010000,28.469999,27.468643,1644923700
2019-02-01,28.600000,29.670000,27.860001,29.080000,28.057190,972624100
2019-03-01,29.330000,30.139999,26.610001,27.590000,26.755503,1240842800
2019-04-01,27.900000,31.170000,27.850000,30.580000,29.655066,1226771800
