Date,AAL,BAC,DAL,S&P500,WFC
2016-10-01,39.134323,15.332217000000002,38.416256,2126.149902,40.193745
2016-11-01,44.7635,19.62524,44.311588,2198.810059,46.23024
2016-12-01,45.118092,21.535412,45.448677,2238.830078,48.544498
2017-01-01,42.760242,21.115707,43.646992,2278.8701170000004,49.619156
2017-02-01,44.799213,23.018364,46.132385,2363.639893,50.984505
2017-03-01,40.966808,22.001751,42.632919,2362.719971,49.361973
2017-04-01,41.27673,21.834934,42.150566,2384.199951,47.747906
2017-05-01,46.884247,20.964905,45.573441,2411.800049,45.35342
2017-06-01,48.838978,22.770153,50.054443,2423.409912,49.485039
2017-07-01,48.955448,22.638756,45.974838,2470.300049,48.172226
2017-08-01,43.42321,22.422873000000006,43.953655,2471.649902,45.609116
2017-09-01,46.185772,23.905485,45.203083,2519.360107,49.610611
2017-10-01,45.534168,25.839432,46.899841,2575.26001,50.501175
2017-11-01,49.103378,26.575275,49.609024,2584.840088,50.798031
2017-12-01,50.711876,27.967525,52.822926,2673.610107,54.95748100000001
2018-01-01,52.943863,30.317099,53.549236,2823.810059,59.586338
2018-02-01,52.875637,30.41184,50.84206,2713.830078,52.910271
2018-03-01,50.741039,28.412806,51.998772,2640.8701170000004,47.758369
2018-04-01,41.922886,28.452854,49.541615,2648.050049,47.348309
2018-05-01,42.51857,27.616007,51.277752,2705.27002,49.198143
2018-06-01,37.156174,26.917217,47.278423,2718.3701170000004,50.89980300000001
2018-07-01,38.702713,29.485762,51.935638,2816.290039,52.598301
2018-08-01,39.62280300000001,29.533506,56.190849,2901.52002,53.690849
2018-09-01,40.560383,28.129875,55.566296,2913.97998,48.608791
2018-10-01,34.426765,26.385303000000004,52.58763100000001,2711.73999,49.228424
2018-11-01,39.412163,27.248823,58.33355699999999,2760.169922,50.19949
2018-12-01,31.599045,23.641232,48.247982,2506.850098,42.960701
2019-01-01,35.200806,27.468643,47.793545,2704.100098,45.599129
2019-02-01,35.063038,28.05719,47.938583,2784.48999,46.934441
