Date,T,WMT,TMUS,COST,NFLX_x,NFLX_y,DIS
2010-01-01,14.211266,41.107609000000004,9.155951,44.383762,8.892858,8.892858,25.738926
2010-02-01,14.11145,41.599998,10.034142,47.119597999999996,9.435715,9.435715,27.210964
2010-03-01,14.697299,42.777157,11.514055,46.287605,10.534286,10.534286,30.407646000000003
2010-04-01,14.822426,41.501411,12.408509,45.799232,14.128572,14.128572,32.088741
2010-05-01,14.045589999999999,39.118404,14.620247,45.155803999999996,15.878572,15.878572,29.109809999999996
2010-06-01,13.982006,37.407585,13.319223999999998,42.650627,15.521428,15.521428,27.437428999999998
2010-07-01,14.993522,39.835541,14.555195999999999,44.113018,14.65,14.65,29.344988
2010-08-01,15.897082999999999,39.018436,14.538932999999998,43.949661,17.931429,17.931429,28.3433
2010-09-01,16.820438,41.891376,17.010877999999998,50.347355,23.165714,23.165714,28.831081
2010-10-01,16.773388,42.400154,16.9133,49.004543,24.795713,24.795713,31.470297
2010-11-01,16.581249,42.337536,19.759289000000003,52.953609,29.414285999999997,29.414285999999997,31.801287
2010-12-01,17.529942000000002,42.212303000000006,20.539904,56.556442000000004,25.1,25.1,32.672321000000004
2011-01-01,16.420154999999998,44.12965,21.027786,56.266636,30.582857,30.582857,34.227242
2011-02-01,17.179688,40.910641,23.418417,58.577152000000005,29.524286,29.524286,38.515556
2011-03-01,18.529608,40.965721,26.41077,57.58363000000001,33.968571000000004,33.968571000000004,37.943199
2011-04-01,18.838337,43.575069,27.370275,63.528877,33.238571,33.238571,37.952
2011-05-01,19.376079999999998,43.765282,29.110391999999997,64.777649,38.685715,38.685715,36.657589
2011-06-01,19.283981,42.395412,27.988259999999997,63.990543,37.527142,37.527142,34.376938
2011-07-01,17.964002999999998,42.052357,26.475821999999997,61.635399,37.998573,37.998573,34.007111
2011-08-01,17.726109,42.435299,18.149273,61.863827,33.572857,33.572857,29.991771999999997
2011-09-01,17.751005,41.705684999999995,14.164889000000002,64.89698800000001,16.181429,16.181429,26.557594
2011-10-01,18.242701,45.578926,13.823371,65.781975,11.725715,11.725715,30.713825
2011-11-01,18.31551,47.330715000000005,13.628217999999999,67.40184,9.218572,9.218572,31.567965
2011-12-01,19.111829999999998,48.021786,14.116101,66.02555799999999,9.898571,9.898571,33.020885
2012-01-01,18.587270999999998,49.615608,14.376306,65.193512,17.171429,17.171429,34.828869
2012-02-01,19.616966,47.772011,16.750673000000003,68.196838,15.818570999999999,15.818570999999999,37.595486
2012-03-01,20.027384,49.486244,14.669038,72.157761,16.434286,16.434286,39.198147
2012-04-01,21.10475,47.952971999999995,11.871837,70.075676,11.448571000000001,11.448571000000001,38.598273999999996
2012-05-01,22.222492000000003,53.577746999999995,10.408185000000001,68.653198,9.062857000000001,9.062857000000001,40.926159000000006
2012-06-01,23.191517,57.136981999999996,9.838988,75.745262,9.784286,9.784286,43.424168
2012-07-01,24.661304,60.99691800000001,14.246203,76.686104,8.121428,8.121428,43.997189
2012-08-01,24.12562,59.497192000000005,15.823694,78.033592,8.531428,8.531428,44.29266
2012-09-01,24.82358,60.807311999999996,19.043728,80.089363,7.777143,7.777143,46.808563
2012-10-01,22.775799,61.812515000000005,16.604309,78.706024,11.32,11.32,43.979282
2012-11-01,22.733809,59.340683,17.31987,83.095901,11.672857,11.672857,44.462771999999994
2012-12-01,22.454048,56.217915000000005,16.165213,79.17343100000001,13.227143,13.227143,44.579163
2013-01-01,23.173435,57.95454399999999,16.311577,87.874092,23.605715,23.605715,48.981926
2013-02-01,24.227526,58.642196999999996,15.937534,86.972527,26.868571999999997,26.868571999999997,49.62738
2013-03-01,24.753767,61.997692,17.72644,91.354401,27.040001,27.040001,51.636471
2013-04-01,25.273267999999998,64.80751,19.255144,93.351776,30.867144,30.867144,57.127399
2013-05-01,23.88958,62.406002,17.425579,94.38490300000001,32.32143,32.32143,57.345581
2013-06-01,24.169514000000003,62.486686999999996,24.348629000000003,95.459854,30.155714,30.155714,57.409218
2013-07-01,24.080751,65.380791,23.661648,101.37374100000001,34.925713,34.925713,58.772854
2013-08-01,23.391365,61.220031999999996,22.915779,96.582207,40.558571,40.558571,55.300121
2013-09-01,23.384447,62.418868999999994,25.487057,99.689819,44.172855,44.172855,58.62739200000001
2013-10-01,25.030071,64.773483,27.214327,102.139442,46.068573,46.068573,62.354687
2013-11-01,24.672091,68.368736,25.526314000000003,108.570755,52.257141,52.257141,64.127411
2013-12-01,24.63706,66.410774,33.014423,103.283821,52.595715000000006,52.595715000000006,69.454697
2014-01-01,23.347739999999998,63.393393999999994,30.001514,97.504372,58.475716000000006,58.475716000000006,66.824158
2014-02-01,22.672159,63.410374,29.932817,101.357323,63.66143,63.66143,74.37075
2014-03-01,24.901735000000002,64.878906,32.415768,97.176262,50.290001000000004,50.290001000000004,73.68972
2014-04-01,25.349079,68.099731,28.745319,100.65679899999999,46.005714000000005,46.005714000000005,73.017899
2014-05-01,25.516491000000002,65.587952,33.691596999999994,100.952621,59.689999,59.689999,77.315765
2014-06-01,25.437359,64.53265400000001,32.994797,100.511162,62.942856000000006,62.942856000000006,78.907913
2014-07-01,25.602816,63.251801,32.327442,102.588387,60.388573,60.388573,79.03675799999999
2014-08-01,25.474937,64.902298,29.520628000000002,105.99844399999999,68.23428299999999,68.23428299999999,82.71800999999999
2014-09-01,25.678972,66.169197,28.33313,109.71032,64.454285,64.454285,81.935745
2014-10-01,25.387495,65.996147,28.647178999999998,116.75763700000002,56.110001000000004,56.110001000000004,84.09850300000001
