Date,JNJ,KO,MCD,PFE,SBUX
2010-01-01,45.894259999999996,18.183428,45.350845,12.654274000000001,9.198994
2010-02-01,45.996483000000005,17.670601,46.382374,11.901525,9.671816999999999
2010-03-01,47.966923,18.434809,48.879177,11.740099,10.245961999999999
2010-04-01,47.304802,18.210957999999998,51.714325,11.445739999999999,10.967866
2010-05-01,42.890663,17.512501,48.989056,10.425756,10.975145
2010-06-01,43.846657,17.076393,48.661915,9.864614,10.301124
2010-07-01,43.126521999999994,19.096943,51.513515000000005,10.376524,10.534279
2010-08-01,42.332146,19.363768,53.973553,11.006031,9.741558
2010-09-01,46.433445,20.278593,55.457005,12.009961,10.887976
2010-10-01,47.767406,21.573271,57.883368999999995,12.184833,12.170671
2010-11-01,46.126202,22.224129,58.277866,11.401419,13.040007000000001
2010-12-01,46.749897,23.46088,57.57885400000001,12.374412,13.750060000000001
2011-01-01,45.1777,22.419279,55.260982999999996,12.87617,13.493289
2011-02-01,46.439995,22.800968,56.768719,13.597010000000001,14.113817000000001
2011-03-01,45.189682,23.664198000000003,57.542965,14.504114999999999,15.876129999999998
2011-04-01,50.124332,24.415228,59.221851,14.975442999999999,15.553879
2011-05-01,51.321743,24.179979,61.664516000000006,15.318229999999998,15.807387
2011-06-01,51.174507,24.353711999999998,64.24234799999999,14.853623,17.028074
2011-07-01,49.84359,24.973291,65.888008,13.880208999999999,17.286797
2011-08-01,50.620605,25.869260999999998,68.882195,13.685523000000002,16.652939
2011-09-01,49.433871999999994,24.808048,67.361511,12.890278,16.136566000000002
2011-10-01,49.977191999999995,25.431683,71.219734,14.042241,18.330521
2011-11-01,50.233318,25.025942,73.2677,14.632803,18.815176
2011-12-01,51.373203000000004,26.427061,77.536049,15.936276999999999,19.987852
2012-01-01,51.631725,25.505503,76.546867,15.759528,20.817601999999997
2012-02-01,50.981533,26.385517,76.72461700000001,15.560698,21.095633
2012-03-01,52.127303999999995,27.952932,76.34520699999999,16.853331,24.365682999999997
2012-04-01,51.447646999999996,29.250719,75.839333,17.039343,25.010899
2012-05-01,49.337582,28.641329,69.527817,16.272942999999998,23.929726000000002
2012-06-01,53.911522,29.967421,69.436836,17.283345999999998,23.316616
2012-07-01,55.236168000000006,31.393559000000003,70.087845,18.064857,19.800758
2012-08-01,53.807789,29.062346999999995,70.18980400000001,17.929592,21.694246
2012-09-01,55.488491,29.474194,72.52873199999999,18.845997,22.261460999999997
2012-10-01,57.026478000000004,29.087784000000003,68.61573800000001,18.861168,20.149893
2012-11-01,56.148754000000004,29.666714000000002,68.80545,18.974926,22.770692999999998
2012-12-01,56.945854000000004,28.554783,70.356476,19.19129,23.641289
2013-01-01,60.049053,29.334630999999998,76.00350999999999,20.874741,24.738932000000002
2013-02-01,61.828120999999996,30.500444,76.490059,21.12665,24.179094
2013-03-01,66.760826,31.855321999999997,80.154404,22.276775,25.199162
2013-04-01,69.790573,33.585484,82.124298,22.438864000000002,26.920406
2013-05-01,68.930763,31.728886,77.645821,21.018591,27.938107000000002
2013-06-01,70.834946,31.824089,80.223259,21.8009,29.084536
2013-07-01,77.137962,32.020092,79.47776800000001,22.750458,31.65069
2013-08-01,71.288689,30.502163,76.463295,22.135616,31.308825
2013-09-01,72.05854000000001,30.262487,78.59227800000001,22.543648,34.269729999999996
2013-10-01,76.979393,31.842547999999997,78.84552,24.081604000000002,36.086292
2013-11-01,78.68338,32.34148,79.539856,24.897665,36.268840999999995
2013-12-01,76.66301700000001,33.475636,79.921341,24.2206,35.01437
2014-01-01,74.051529,30.647501000000002,77.56562,24.038726999999998,31.767084000000004
2014-02-01,77.10664399999999,30.955431,78.372833,25.390905,31.69562
2014-03-01,82.812508,31.328194,81.432899,25.610605,32.900589000000004
2014-04-01,85.39224200000001,33.316134999999996,84.21572900000001,24.940838,31.663116
2014-05-01,85.53555300000001,33.414158,84.25725600000001,23.625221,32.837814
2014-06-01,88.814255,34.59848,84.358604,23.876028,34.821686
2014-07-01,84.96865799999999,32.332333,79.18354000000001,23.087666,34.956684
2014-08-01,88.058716,34.33202,78.480148,23.851323999999998,35.015190000000004
2014-09-01,91.098694,35.105553,80.77317,23.997401999999997,34.07193
2014-10-01,92.115746,34.714764,79.853065,24.305794,34.117081
2014-11-01,92.517426,37.160042,82.47708100000001,25.279648,36.668186
2014-12-01,89.954338,35.238490999999996,80.533211,25.498587,37.200497
2015-01-01,86.143509,34.362114,79.450264,25.580448,39.685055
2015-02-01,88.182259,36.1399,85.002525,28.093467999999998,42.387253
2015-03-01,87.144989,33.844646000000004,84.475479,28.729429,43.092564
2015-04-01,85.932236,34.133891999999996,83.703888,28.019238,45.12207
2015-05-01,86.74652900000001,34.470515999999996,83.166382,28.696385999999997,47.288055
2015-06-01,85.04061899999999,33.014606,83.137062,27.918026,48.954056
2015-07-01,87.440178,34.856716,87.32584399999999,30.024578,52.889010999999996
2015-08-01,82.00406600000001,33.363338,85.113396,27.693217999999998,51.081317999999996
2015-09-01,82.077461,34.042152,86.921875,26.357233,52.036949
2015-10-01,88.830063,36.245644,99.02549,28.379551,57.282753
2015-11-01,89.01469399999999,36.476734,100.710472,27.498455,56.202456999999995
2015-12-01,90.981773,37.049694,105.03871200000002,27.305914,55.135326
2016-01-01,92.505219,37.015194,110.053276,25.791739,55.814987
2016-02-01,93.187225,37.196304,104.194092,25.098098999999998,53.46371800000001
2016-03-01,96.530067,40.007797,112.58911100000002,25.324789000000003,55.011425
2016-04-01,99.9916,38.937859,113.31473500000001,27.947832000000002,51.813946
