Date,AAL,BAC,DAL,S&P500,WFC,JNJ,KO,MCD,PFE,SBUX,T,WMT,TMUS,COST,NFLX,DIS,CVX,XOM,CL,PG,PEP
2011-11-01,4.449739,4.85187,7.213007000000001,1246.959961,19.686195,50.233318,25.025942,73.2677,14.632803,18.815176,18.31551,47.33071500000001,13.628218,67.40184,9.218572,31.567965,73.24314100000002,58.8498,36.271362,49.532154,49.490433
2011-12-01,4.779699,4.968678,7.186358,1257.599976,21.08247,51.373203,26.427061,77.536049,15.936277,19.987852,19.11183,48.021786,14.116101,66.02555799999999,9.898571,33.020885,76.39254,62.37978,36.624157,51.173775,51.726105
2012-01-01,7.956736999999999,6.371705,9.371580999999999,1312.410034,22.344667,51.631725,25.505503,76.546867,15.759528,20.817602,18.587271,49.615608,14.376306,65.193512,17.171429,34.828869,74.03756700000002,61.629116,35.962151,48.35849,51.195992
2012-02-01,6.985714,7.122367,8.714236999999999,1365.680054,23.935799,50.981533,26.385517,76.72461700000002,15.560698,21.095633,19.616966,47.772011,16.750673000000006,68.196838,15.818571,37.595486,78.345428,63.660336,37.419785,52.286102,49.06768
2012-03-01,7.155407,8.562746,8.811948,1408.469971,26.223688,52.127304,27.952932,76.34520699999999,16.853331,24.365683,20.027384,49.486244,14.669038,72.157761,16.434286,39.198147,77.564064,64.178986,39.267075,51.969078,52.15026500000001
2012-04-01,9.672527,7.256415,9.735783,1397.910034,25.746311,51.447647,29.250719,75.839333,17.039343,25.010899,21.10475,47.952972,11.871837,70.075676,11.448571,38.598274,77.09380300000002,63.890396,39.732925,49.208645,51.87516
2012-05-01,12.463041,6.576405,10.748446000000001,1310.329956,24.690884,49.337582,28.641329,69.527817,16.272942999999998,23.929726,22.222492000000006,53.577747,10.408185,68.653198,9.062857,40.92615900000001,71.125076,58.185116,39.980862,48.572205,53.32924300000001
2012-06-01,12.566745,7.328897,9.7269,1362.160034,25.929047,53.911522,29.967421,69.436836,17.283345999999998,23.316616,23.191517,57.136982,9.838988,75.745262,9.784286,43.424168,77.013863,63.75684,42.339851,47.761223,55.97221800000001
2012-07-01,10.803815,6.576296000000001,8.572109,1379.319946,26.215947999999997,55.236168000000006,31.393559000000003,70.087845,18.064857,19.800758,24.661304,60.99691800000001,14.246203,76.686104,8.121428,43.997189,79.99221800000002,64.710533,43.665764,50.326694,57.611946
2012-08-01,10.049624,7.158666,7.683806,1406.579956,26.386526,53.807789,29.062346999999995,70.18980400000001,17.929592,21.694246,24.12562,59.49719200000001,15.823694,78.033592,8.531428,44.29266,81.87559499999998,65.045822,43.752369,52.847576,57.37429
